Document,Link,Sentence
Daring Greatly,No Link,"Yes, we are totally exposed when we are vulnerable."
Daring Greatly,No Link,"And, yes, we're taking a huge emotional risk when we allow ourselves to be vulnerable."
Daring Greatly,No Link,The perception that vulnerability is weakness is the most widely accepted myth about vulnerability and the most dangerous.
Daring Greatly,No Link,"When we spend our lives pushing away and protecting ourselves from feeling vulnerable or from being perceived as too emotional, we feel contempt when others are less capable or willing to mask feelings, suck it up, and solider on."
Daring Greatly,No Link,"We've come to the point where, rather than respecting and appreciating the courage and daring behind vulnerability, we let our fear and discomfort become judgement and criticism."
Daring Greatly,No Link,To feel is to be vulnerable.
Daring Greatly,No Link,To believe vulnerability is weakness is to believe that feeling is weakness.
Daring Greatly,No Link,"Our rejection of vulnerability often stems from our associating it with dark emotions like fear, shame, grief, sadness, and disappointment—emotions that we don't want to discuss, even when they profoundly affect the way we live, love, work, and even lead."
Daring Greatly,No Link,What most of us fail to understand and what took me a decade of research to learn is that vulnerability is also the cradle of the emotions and experiences that we crave.
Daring Greatly,No Link,"If we want greater clarity in our purpose or deeper and more meaningful spiritual lives, vulnerability is the path."
Daring Greatly,No Link,"I know this is hard to believe, especially when we've spent our lives thinking that vulnerability and weakness are synonymous, but it's true."
Daring Greatly,No Link,"I define vulnerability as uncertainty, risk, and emotional exposure."
Daring Greatly,No Link,"Waking up every day and loving someone who may or may not love us back, whose safety we can't ensure, who may stay in our lives or may leave without a moment's notice, who may be loyal to the day they die or betray us tomorrow—that's vulnerability."
Daring Greatly,No Link,"To put our art, our writing, our photography, our ideas out into the world with no assurance of acceptance or appreciation—that's also vulnerability."
Daring Greatly,No Link,"To let ourselves sink into the joyful moments of our lives even though we know that they are fleeting, even though the world tells us not to be too happy lest we invite disaster—that's an intense form of vulnerability."
Daring Greatly,No Link,"With the exception of anger (which is a secondary emotion, one that only serves as a socially acceptable mask for many of the more difficult underlying emotions we feel), we're losing our tolerance for emotion and hence for vulnerability."
Daring Greatly,No Link,"When we asked the question ""How does vulnerability feel?"""
Daring Greatly,No Link,And the answer that appeared over and over in all of our efforts to better understand vulnerability?
