Document,Link,Sentence
Trial of Your Faith,https://www.lds.org/general-conference/2012/10/trial-of-your-faith?lang=eng,"They take root in our weaknesses, our vulnerabilities, our sensitivities, or in those things that matter most to us."
Never Leave Him,https://www.lds.org/general-conference/2010/10/never-leave-him?lang=eng,But the question “Will ye also go away?” makes us think about our own vulnerability.
Personal Peace: The Reward of Righteousness,https://www.lds.org/general-conference/2013/04/personal-peace-the-reward-of-righteousness?lang=eng,Events often occur that rob us of peace and heighten our sense of vulnerability.
Personal Peace: The Reward of Righteousness,https://www.lds.org/general-conference/2013/04/personal-peace-the-reward-of-righteousness?lang=eng,"We understood that this could leave us angry, bewildered, defenseless, and vulnerable."
The Songs They Could Not Sing,https://www.lds.org/general-conference/2011/10/the-songs-they-could-not-sing?lang=eng,"The promoters of the new luxury liner, which was 11 stories high and almost 3 football fields long,5 made excessive and unjustified claims as to the lack of vulnerability of the Titanic to winter waters full of icebergs."
The Lord Is My Light,https://www.lds.org/general-conference/2015/04/the-lord-is-my-light?lang=eng,The clamor that reverberates across the earth because of worldly wickedness creates feelings of vulnerability.
Behold Thy Mother,https://www.lds.org/general-conference/2015/10/behold-thy-mother?lang=eng,"How can mortal love be so strong that you voluntarily subject yourself to responsibility, vulnerability, anxiety, and heartache and just keep coming back for more of the same?"
The Hands of the Fathers,https://www.lds.org/general-conference/1999/04/the-hands-of-the-fathers?lang=eng,"And because of him, so do I.”
Surely that must be the spiritual application of Lord Byron’s couplet: “Yet in my lineaments they trace / Some features of my father’s face.”
At a vulnerable moment in young Nephi’s life, his prophetic future was determined when he said, “I did believe all the words which had been spoken by my father.” At the turning point of the prophet Enos’s life, he said it was “the words which I had often heard my father speak”17 which prompted one of the great revelations recorded in the Book of Mormon."
Called to Serve,https://www.lds.org/general-conference/2002/10/called-to-serve?lang=eng,“‘I look back and realize I was tired and foolish and vulnerable.
Lessons from Eve,https://www.lds.org/general-conference/1987/10/lessons-from-eve?lang=eng,"Nurturing the young, comforting the frightened, protecting the vulnerable, teaching and giving encouragement need not—and should not—be limited to our own children."
Be Not Deceived,https://www.lds.org/general-conference/2004/10/be-not-deceived?lang=eng,"When Satan’s lies succeed in deceiving us, we become vulnerable to his power."
Two Lines of Communication,https://www.lds.org/general-conference/2010/10/two-lines-of-communication?lang=eng,"But if we are solely dependent on one particular priesthood leader or teacher for our personal testimony of the truth instead of getting that testimony through the personal line, we will be forever vulnerable to disillusionment by the action of that person."
The Parable of the Sower,https://www.lds.org/general-conference/2015/04/the-parable-of-the-sower?lang=eng,"You are making yourself vulnerable to withering away when you encounter tribulation like isolation, intimidation, or ridicule."
Parents and Children,https://www.lds.org/general-conference/2018/10/parents-and-children?lang=eng,Those children are vulnerable.
Protect the Children,https://www.lds.org/general-conference/2012/10/protect-the-children?lang=eng,Children are highly vulnerable.
Protect the Children,https://www.lds.org/general-conference/2012/10/protect-the-children?lang=eng,"Young people struggling with any exceptional condition, including same-gender attraction, are particularly vulnerable and need loving understanding—not bullying or ostracism."
“Brother’s Keeper”,https://www.lds.org/general-conference/1986/10/brothers-keeper?lang=eng,The marketplace for products and services has many potential buyers who are vulnerable because they are poorly informed or excessively trusting.
Shepherding Souls,https://www.lds.org/general-conference/2018/10/shepherding-souls?lang=eng,He described that lost sheep were particularly vulnerable to the dangers of predators.
Your Priesthood Playbook,https://www.lds.org/general-conference/2019/04/31stevenson?lang=eng,"You know what temptations you are most vulnerable to, and you can predict how the adversary will try to derail and dishearten you."
