Document,Link,Sentence
NSA-Inspired Vulnerability Found in Huawei Laptops,https://www.schneier.com/blog/archives/2019/03/nsa-inspired_vu.html,This is an interesting story of a serious vulnerability in a Huawei driver that Microsoft found.
NSA-Inspired Vulnerability Found in Huawei Laptops,https://www.schneier.com/blog/archives/2019/03/nsa-inspired_vu.html,The vulnerability is similar in style to the NSA's DOUBLEPULSAR that was leaked by the Shadow Brokers -- believed to be the Russian government -- and it's obvious that this attack copied that technique.
NSA-Inspired Vulnerability Found in Huawei Laptops,https://www.schneier.com/blog/archives/2019/03/nsa-inspired_vu.html,What is less clear is whether the vulnerability -- which has been fixed -- was put into the Huwei driver accidentally or on purpose.
DROWN Attack,https://www.schneier.com/blog/archives/2016/03/drown_attack.html,"As an aside, I am getting pretty annoyed at all the marketing surrounding vulnerabilities these days."
Using Samsung's Internet-Enabled Refrigerator for Man-in-the-Middle Attacks,https://www.schneier.com/blog/archives/2015/08/using_samsungs_.html,"As we connect things to each other, vulnerabilities on one of them affect the security of another."
Using Samsung's Internet-Enabled Refrigerator for Man-in-the-Middle Attacks,https://www.schneier.com/blog/archives/2015/08/using_samsungs_.html,"And because so many of the things we connect to the Internet will be poorly designed, and low cost, there will be lots of vulnerabilities in them."
The Equation Group's Sophisticated Hacking and Exploitation Tools,https://www.schneier.com/blog/archives/2015/02/the_equation_gr.html,It's exploiting existing vulnerabilities.
The Equation Group's Sophisticated Hacking and Exploitation Tools,https://www.schneier.com/blog/archives/2015/02/the_equation_gr.html,"In the overall scheme of things, this is much less disruptive to Internet security than deliberately inserting vulnerabilities that leave everyone insecure."
The Equation Group's Sophisticated Hacking and Exploitation Tools,https://www.schneier.com/blog/archives/2015/02/the_equation_gr.html,"Everything depends on everything else, and security vulnerabilities in anything affects the security of everything."
The US Uses Vulnerability Data for Offensive Purposes,https://www.schneier.com/blog/archives/2013/06/the_us_uses_vul.html,"Companies allow US intelligence to exploit vulnerabilities before it patches them:
Microsoft Corp. (MSFT), the world's largest software company, provides intelligence agencies with information about bugs in its popular software before it publicly releases a fix, according to two people familiar with the process."
The US Uses Vulnerability Data for Offensive Purposes,https://www.schneier.com/blog/archives/2013/06/the_us_uses_vul.html,"Redmond, Washington-based Microsoft (MSFT) and other software or Internet security companies have been aware that this type of early alert allowed the U.S. to exploit vulnerabilities in software sold to foreign governments, according to two U.S. officials."
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,"The answer for this particular vulnerability, as for pretty much any other vulnerability you read about, is the same: do nothing."
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,"One, it's hard to figure out which vulnerabilities are serious and which are not."
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,Many vulnerabilities affect operating systems or Internet protocols.
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,Some  vulnerabilities have surprising consequences.
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,The SSL vulnerability mentioned above could be used to hack Twitter.
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,"Three, the odds of a particular vulnerability affecting you are small."
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,"These vulnerabilities affect clients and servers, individuals and corporations."
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,"If a vulnerability affects the computers running Facebook, for example, your data is at risk, whether you log in to Facebook or not."
Reacting to Security Vulnerabilities,https://www.schneier.com/blog/archives/2009/12/reacting_to_sec.html,"They spent all last month scrambling to fix the SSL vulnerability, and they'll spend all this month scrambling to fix whatever new vulnerabilities are discovered."
Locksmiths Hate Computer Geeks who Learn Lockpicking,https://www.schneier.com/blog/archives/2008/07/locksmiths_hate.html,They have a duty to disclose vulnerabilities.
Google Vulnerability Scanner,https://www.schneier.com/blog/archives/2008/03/google_vulnerab.html,We've all known for years that you can use Google to scan for vulnerabilities.
Prices for Zero-Day Exploits Are Rising,https://www.schneier.com/blog/archives/2019/01/prices_for_zero.html,"Back in 2014, Dan Geer said that that the US should corner the market on software vulnerabilities:
""There is no doubt that the U.S. Government could openly corner the world vulnerability market,"" said Geer, ""that is, we buy them all and we make them all public."
Prices for Zero-Day Exploits Are Rising,https://www.schneier.com/blog/archives/2019/01/prices_for_zero.html,"Sure, there are some who will say 'I hate Americans; I sell only to Ukrainians,' but because vulnerability finding is increasingly automation-assisted, the seller who won't sell to the Americans knows that his vulns can be rediscovered in due course by someone who will sell to the Americans who will tell everybody, thus his need to sell his product before it outdates is irresistible."""
Hacker Firefox Extensions,https://www.schneier.com/blog/archives/2007/10/hacker_firefox.html,"Paros and Burp both have features not yet available in Tamper Data, such as site spidering and vulnerability scanning."
Faux Disclosure,https://www.schneier.com/blog/archives/2006/08/faux_disclosure.html,"Good essay on ""faux disclosure"": disclosing a vulnerability without really disclosing it."
Faux Disclosure,https://www.schneier.com/blog/archives/2006/08/faux_disclosure.html,"You've probably heard of full disclosure, the security philosophy that calls for making public all details of vulnerabilities."
Faux Disclosure,https://www.schneier.com/blog/archives/2006/08/faux_disclosure.html,That's part of what is meant by full disclosure these days -- giving the vendor a chance fix the vulnerability before letting the whole world know about it.
Vulnerability Disclosure Survey,https://www.schneier.com/blog/archives/2006/01/vulnerability_d.html,This research project seeks to understand how secrecy and openness can be balanced in the analysis and alerting of security vulnerabilities to protect critical national infrastructures.
Vulnerability Disclosure Survey,https://www.schneier.com/blog/archives/2006/01/vulnerability_d.html,"To answer this question, this thesis will investigate:

How vulnerabilities are analyzed, understood and managed throughout the vulnerability lifecycle process."
Possible Net Objects Fusion 9 Vulnerability,https://www.schneier.com/blog/archives/2005/11/possible_net_ob.html,I regularly get anonymous e-mail from people exposing software vulnerabilities.
Possible Net Objects Fusion 9 Vulnerability,https://www.schneier.com/blog/archives/2005/11/possible_net_ob.html,"The vulnerability exists for any website published using versioning (that is, all sites using nPower)."
Possible Net Objects Fusion 9 Vulnerability,https://www.schneier.com/blog/archives/2005/11/possible_net_ob.html,The vulnerability is easy to exploit.
Possible Net Objects Fusion 9 Vulnerability,https://www.schneier.com/blog/archives/2005/11/possible_net_ob.html,"I don't use NOF9, and I haven't tested this vulnerability."
Possible Net Objects Fusion 9 Vulnerability,https://www.schneier.com/blog/archives/2005/11/possible_net_ob.html,I don't know yet if Website Pros prefers to pay lawyers to suppress information rather than pay developers to fix software vulnerabilities.
Security Vulnerabilities in US Weapons Systems,https://www.schneier.com/blog/archives/2018/10/security_vulner_17.html,The upshot won't be a surprise to any of my regular readers: they're vulnerable.
Security Vulnerabilities in US Weapons Systems,https://www.schneier.com/blog/archives/2018/10/security_vulner_17.html,"However, they make weapon systems more vulnerable to cyber attacks."
Security Vulnerabilities in US Weapons Systems,https://www.schneier.com/blog/archives/2018/10/security_vulner_17.html,"In operational testing, DOD routinely found mission-critical cyber vulnerabilities in systems that were under development, yet program officials GAO met with believed their systems were secure and discounted some test results as unrealistic."
Security Vulnerabilities in US Weapons Systems,https://www.schneier.com/blog/archives/2018/10/security_vulner_17.html,"In addition, vulnerabilities that DOD is aware of likely represent a fraction of total vulnerabilities due to testing limitations."
Unicode URL Hack,https://www.schneier.com/blog/archives/2005/02/unicode_url_hac_1.html,"Here's the source code of the link:  http://www.p&#1072;ypal.com/
Secuna has some information on how to fix this vulnerability."
Another Spectre-Like CPU Vulnerability,https://www.schneier.com/blog/archives/2018/05/another_spectre.html,"Google and Microsoft researchers have disclosed another Spectre-like CPU side-channel vulnerability, called ""Speculative Store Bypass."""
Another Spectre-Like CPU Vulnerability,https://www.schneier.com/blog/archives/2018/05/another_spectre.html,"Writing about Spectre and Meltdown in January, I predicted that we'll be seeing a lot more of these sorts of vulnerabilities."
Another Spectre-Like CPU Vulnerability,https://www.schneier.com/blog/archives/2018/05/another_spectre.html,"Spectre and Meltdown are pretty catastrophic vulnerabilities, but they only affect the confidentiality of data."
Another Spectre-Like CPU Vulnerability,https://www.schneier.com/blog/archives/2018/05/another_spectre.html,"Now that they -- and the research into the Intel ME vulnerability -- have shown researchers where to look, more is coming -- and what they'll find will be worse than either Spectre or Meltdown."
Another Spectre-Like CPU Vulnerability,https://www.schneier.com/blog/archives/2018/05/another_spectre.html,"I still predict that we'll be seeing lots more of these in the coming months and years, as we learn more about this class of vulnerabilities."
Poor Security at the UK National Health Service,https://www.schneier.com/blog/archives/2018/02/poor_security_a.html,"The Guardian is reporting that ""every NHS trust assessed for cyber security vulnerabilities has failed to meet the standard required."""
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,"This is the inter-agency process by which the US government decides whether to inform the software vendor of a vulnerability it finds, or keep it secret and use it to eavesdrop on or attack other systems."
New White House Announcement on the Vulnerability Equities Process,https://www.schneier.com/blog/archives/2017/11/new_white_house_1.html,The American people should have confidence in the integrity of the process that underpins decision making about discovered vulnerabilities.
